token,hold,trail,pitchAtPeakIntDiff,peakIntDiff,finalGlotCl
4666-B-573-64,1,0,1.25755428013932,-0.0999999999999943,1
5242-A-926-08,1,0,12.7695640490366,10.7,1
5788-B-583-08,1,0,5.72011878085476,10.9,1
6033-A-1127-52,1,0,17.8672273553686,12,1
6079-A-792-21,1,0,2.06119617919776,0.200000000000003,1
6179-B-736-72,1,0,8.52592059366018,14.5,1
6274-A-455-46,1,0,5.49507974558425,7,1
6274-B-136-69,1,0,7.22589739180413,5.19999999999999,1
6348-B-492-74,1,0,1.7326789120221,4.40000000000001,1
0638-A-794-92,0,1,-0.184175572001232,-5.00000000000001,0
4074-A-695-85,0,1,-14.7181023577042,-17.2,0
4092-A-57-20,0,1,-10.2957719415309,-4.7,0
4310-B-1272-58,0,1,-12.2168588750642,-15.9,0
4415-B-293-70,0,1,0,0,0
4576-A-311-11,0,1,-9.64211330527571,-2.60000000000001,0
4576-B-668-34,0,1,-7.29803870258978,-10.5,0
4580-A-624-06,0,1,-1.28298244699814,-0.299999999999997,0
4612-A-1308-96,0,1,-1.30721245863797,-0.800000000000004,0
4686-B-340-11,0,1,-4.12745281460834,-7,0
4927-A-592-73,0,1,-0.573942301087382,-18,0
5373-A-651-85,0,1,-3.79768397754305,-2.3,0
5573-A-1261-34,0,1,-3.33040770634691,-3,0
5777-B-560-59,0,1,-19.4938903788935,-8.5,0
5788-B-318-64,0,1,-0.370728095349406,-2.3,0
5866-A-418-89,0,1,-2.2435551815862,-2.60000000000001,0
5931-B-523-87,0,1,-4.28713401599572,-0.5,0
6100-A-1245-16,0,1,-7.96459934562681,-1.3,0
6456-B-719-37,0,1,-1.52406332082384,-3.2,0
6625-A-1303-95,0,1,-14.2994408704996,-7.7,0
6785-A-519-32,0,1,-10.650303248899,-2.69999999999999,0
